Comunidades y Ciudades Autónomas;Sexo;Nivel de formación alcanzado;Periodo;Total
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2021T2;489,3
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2021T1;505,0
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2020T4;523,8
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2020T3;540,6
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2020T2;538,1
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2020T1;534,6
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2019T4;576,3
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2019T3;586,4
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2019T2;591,8
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2019T1;605,0
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2018T4;612,9
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2018T3;610,2
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2018T2;624,5
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2018T1;631,2
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2017T4;622,2
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2017T3;599,8
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2017T2;608,8
01 Andalucía;Ambos sexos;Estudios primarios incompletos;2017T1;607,7
01 Andalucía;Ambos sexos;Educación primaria;2023T2;774,7
01 Andalucía;Ambos sexos;Educación primaria;2023T1;771,2
01 Andalucía;Ambos sexos;Educación primaria;2022T4;780,8
01 Andalucía;Ambos sexos;Educación primaria;2022T3;750,1
01 Andalucía;Ambos sexos;Educación primaria;2022T2;769,6
01 Andalucía;Ambos sexos;Educación primaria;2022T1;751,3
01 Andalucía;Ambos sexos;Educación primaria;2021T4;738,0
01 Andalucía;Ambos sexos;Educación primaria;2021T3;779,1
01 Andalucía;Ambos sexos;Educación primaria;2021T2;794,6
01 Andalucía;Ambos sexos;Educación primaria;2021T1;821,7
01 Andalucía;Ambos sexos;Educación primaria;2020T4;832,6
01 Andalucía;Ambos sexos;Educación primaria;2020T3;834,6
01 Andalucía;Ambos sexos;Educación primaria;2020T2;892,8
01 Andalucía;Ambos sexos;Educación primaria;2020T1;909,2
01 Andalucía;Ambos sexos;Educación primaria;2019T4;886,2
01 Andalucía;Ambos sexos;Educación primaria;2019T3;871,6
01 Andalucía;Ambos sexos;Educación primaria;2019T2;873,1
01 Andalucía;Ambos sexos;Educación primaria;2019T1;858,5
01 Andalucía;Ambos sexos;Educación primaria;2018T4;880,1
01 Andalucía;Ambos sexos;Educación primaria;2018T3;866,3
01 Andalucía;Ambos sexos;Educación primaria;2018T2;903,5
01 Andalucía;Ambos sexos;Educación primaria;2018T1;897,3
01 Andalucía;Ambos sexos;Educación primaria;2017T4;897,3
01 Andalucía;Ambos sexos;Educación primaria;2017T3;914,2
01 Andalucía;Ambos sexos;Educación primaria;2017T2;917,1
01 Andalucía;Ambos sexos;Educación primaria;2017T1;918,1
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2023T2;2.202,8
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2023T1;2.192,6
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2022T4;2.192,0
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2022T3;2.178,7
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2022T2;2.198,0
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2022T1;2.215,7
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2021T4;2.210,5
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2021T3;2.197,3
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2021T2;2.211,1
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2021T1;2.199,5
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2020T4;2.182,9
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2020T3;2.176,9
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2020T2;2.194,0
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2020T1;2.193,3
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2019T4;2.179,7
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2019T3;2.174,4
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2019T2;2.184,6
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2019T1;2.164,7
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2018T4;2.143,2
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2018T3;2.134,3
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2018T2;2.151,1
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2018T1;2.185,8
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2017T4;2.179,6
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2017T3;2.188,4
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2017T2;2.241,0
01 Andalucía;Ambos sexos;Primera etapa de educación secundaria y similar;2017T1;2.225,7
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2023T2;927,1
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2023T1;958,3
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2022T4;944,3
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2022T3;920,2
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2022T2;894,6
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2022T1;876,9
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2021T4;882,6
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2021T3;855,9
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2021T2;834,1
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2021T1;827,8
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2020T4;861,1
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2020T3;893,9
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2020T2;857,1
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2020T1;840,1
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2019T4;868,5
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2019T3;866,0
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2019T2;858,3
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2019T1;873,2
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2018T4;866,3
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2018T3;864,1
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2018T2;846,7
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2018T1;843,7
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2017T4;843,8
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2017T3;834,1
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2017T2;822,3
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2017T1;820,8
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T2;598,8
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T1;599,7
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T4;594,2
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T3;616,8
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T2;626,9
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T1;637,2
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T4;644,6
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T3;638,3
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T2;619,4
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T1;596,9
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T4;583,7
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T3;572,9
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T2;548,3
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T1;569,1
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T4;565,6
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T3;554,9
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T2;568,6
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T1;575,3
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T4;563,5
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T3;552,8
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T2;522,7
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T1;515,3
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T4;501,7
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T3;495,4
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T2;494,8
01 Andalucía;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T1;510,7
01 Andalucía;Ambos sexos;Educación superior;2023T2;2.048,7
01 Andalucía;Ambos sexos;Educación superior;2023T1;2.028,4
01 Andalucía;Ambos sexos;Educación superior;2022T4;2.018,4
01 Andalucía;Ambos sexos;Educación superior;2022T3;2.025,4
01 Andalucía;Ambos sexos;Educación superior;2022T2;1.991,5
01 Andalucía;Ambos sexos;Educación superior;2022T1;1.952,7
01 Andalucía;Ambos sexos;Educación superior;2021T4;1.963,9
01 Andalucía;Ambos sexos;Educación superior;2021T3;1.956,2
01 Andalucía;Ambos sexos;Educación superior;2021T2;1.933,2
01 Andalucía;Ambos sexos;Educación superior;2021T1;1.910,6
01 Andalucía;Ambos sexos;Educación superior;2020T4;1.869,2
01 Andalucía;Ambos sexos;Educación superior;2020T3;1.844,5
01 Andalucía;Ambos sexos;Educación superior;2020T2;1.804,9
01 Andalucía;Ambos sexos;Educación superior;2020T1;1.770,8
01 Andalucía;Ambos sexos;Educación superior;2019T4;1.740,7
01 Andalucía;Ambos sexos;Educación superior;2019T3;1.745,2
01 Andalucía;Ambos sexos;Educación superior;2019T2;1.704,1
01 Andalucía;Ambos sexos;Educación superior;2019T1;1.691,8
01 Andalucía;Ambos sexos;Educación superior;2018T4;1.687,3
01 Andalucía;Ambos sexos;Educación superior;2018T3;1.699,8
01 Andalucía;Ambos sexos;Educación superior;2018T2;1.666,3
01 Andalucía;Ambos sexos;Educación superior;2018T1;1.634,1
01 Andalucía;Ambos sexos;Educación superior;2017T4;1.653,2
01 Andalucía;Ambos sexos;Educación superior;2017T3;1.655,3
01 Andalucía;Ambos sexos;Educación superior;2017T2;1.596,4
01 Andalucía;Ambos sexos;Educación superior;2017T1;1.600,5
02 Aragón;Ambos sexos;Analfabetos;2023T2;7,1
02 Aragón;Ambos sexos;Analfabetos;2023T1;10,1
02 Aragón;Ambos sexos;Analfabetos;2022T4;9,6
02 Aragón;Ambos sexos;Analfabetos;2022T3;10,8
02 Aragón;Ambos sexos;Analfabetos;2022T2;10,3
02 Aragón;Ambos sexos;Analfabetos;2022T1;7,3
02 Aragón;Ambos sexos;Analfabetos;2021T4;7,2
02 Aragón;Ambos sexos;Analfabetos;2021T3;8,5
02 Aragón;Ambos sexos;Analfabetos;2021T2;8,1
02 Aragón;Ambos sexos;Analfabetos;2021T1;6,4
02 Aragón;Ambos sexos;Analfabetos;2020T4;10,7
02 Aragón;Ambos sexos;Analfabetos;2020T3;7,3
02 Aragón;Ambos sexos;Analfabetos;2020T2;6,0
02 Aragón;Ambos sexos;Analfabetos;2020T1;7,7
02 Aragón;Ambos sexos;Analfabetos;2019T4;7,0
02 Aragón;Ambos sexos;Analfabetos;2019T3;7,3
02 Aragón;Ambos sexos;Analfabetos;2019T2;8,2
02 Aragón;Ambos sexos;Analfabetos;2019T1;8,4
02 Aragón;Ambos sexos;Analfabetos;2018T4;7,1
02 Aragón;Ambos sexos;Analfabetos;2018T3;8,4
02 Aragón;Ambos sexos;Analfabetos;2018T2;7,9
02 Aragón;Ambos sexos;Analfabetos;2018T1;8,8
02 Aragón;Ambos sexos;Analfabetos;2017T4;9,2
02 Aragón;Ambos sexos;Analfabetos;2017T3;11,1
02 Aragón;Ambos sexos;Analfabetos;2017T2;8,2
02 Aragón;Ambos sexos;Analfabetos;2017T1;7,7
02 Aragón;Ambos sexos;Estudios primarios incompletos;2023T2;33,7
02 Aragón;Ambos sexos;Estudios primarios incompletos;2023T1;30,1
02 Aragón;Ambos sexos;Estudios primarios incompletos;2022T4;28,3
02 Aragón;Ambos sexos;Estudios primarios incompletos;2022T3;25,2
02 Aragón;Ambos sexos;Estudios primarios incompletos;2022T2;27,2
02 Aragón;Ambos sexos;Estudios primarios incompletos;2022T1;29,7
02 Aragón;Ambos sexos;Estudios primarios incompletos;2021T4;25,4
02 Aragón;Ambos sexos;Estudios primarios incompletos;2021T3;25,9
02 Aragón;Ambos sexos;Estudios primarios incompletos;2021T2;28,3
02 Aragón;Ambos sexos;Estudios primarios incompletos;2021T1;31,2
02 Aragón;Ambos sexos;Estudios primarios incompletos;2020T4;33,8
02 Aragón;Ambos sexos;Estudios primarios incompletos;2020T3;29,5
02 Aragón;Ambos sexos;Estudios primarios incompletos;2020T2;27,7
02 Aragón;Ambos sexos;Estudios primarios incompletos;2020T1;31,5
02 Aragón;Ambos sexos;Estudios primarios incompletos;2019T4;30,9
02 Aragón;Ambos sexos;Estudios primarios incompletos;2019T3;31,6
02 Aragón;Ambos sexos;Estudios primarios incompletos;2019T2;35,1
02 Aragón;Ambos sexos;Estudios primarios incompletos;2019T1;39,6
02 Aragón;Ambos sexos;Estudios primarios incompletos;2018T4;41,8
02 Aragón;Ambos sexos;Estudios primarios incompletos;2018T3;41,7
02 Aragón;Ambos sexos;Estudios primarios incompletos;2018T2;35,8
02 Aragón;Ambos sexos;Estudios primarios incompletos;2018T1;37,9
02 Aragón;Ambos sexos;Estudios primarios incompletos;2017T4;36,7
02 Aragón;Ambos sexos;Estudios primarios incompletos;2017T3;38,4
02 Aragón;Ambos sexos;Estudios primarios incompletos;2017T2;40,7
02 Aragón;Ambos sexos;Estudios primarios incompletos;2017T1;43,9
02 Aragón;Ambos sexos;Educación primaria;2023T2;134,7
02 Aragón;Ambos sexos;Educación primaria;2023T1;139,5
02 Aragón;Ambos sexos;Educación primaria;2022T4;137,9
02 Aragón;Ambos sexos;Educación primaria;2022T3;153,2
02 Aragón;Ambos sexos;Educación primaria;2022T2;157,3
02 Aragón;Ambos sexos;Educación primaria;2022T1;143,7
02 Aragón;Ambos sexos;Educación primaria;2021T4;147,2
02 Aragón;Ambos sexos;Educación primaria;2021T3;140,4
02 Aragón;Ambos sexos;Educación primaria;2021T2;146,3
02 Aragón;Ambos sexos;Educación primaria;2021T1;149,4
02 Aragón;Ambos sexos;Educación primaria;2020T4;160,6
02 Aragón;Ambos sexos;Educación primaria;2020T3;168,7
02 Aragón;Ambos sexos;Educación primaria;2020T2;170,3
02 Aragón;Ambos sexos;Educación primaria;2020T1;181,6
02 Aragón;Ambos sexos;Educación primaria;2019T4;174,6
02 Aragón;Ambos sexos;Educación primaria;2019T3;166,1
02 Aragón;Ambos sexos;Educación primaria;2019T2;170,1
02 Aragón;Ambos sexos;Educación primaria;2019T1;175,8
02 Aragón;Ambos sexos;Educación primaria;2018T4;172,3
02 Aragón;Ambos sexos;Educación primaria;2018T3;173,4
02 Aragón;Ambos sexos;Educación primaria;2018T2;184,5
02 Aragón;Ambos sexos;Educación primaria;2018T1;189,9
02 Aragón;Ambos sexos;Educación primaria;2017T4;183,6
02 Aragón;Ambos sexos;Educación primaria;2017T3;177,8
02 Aragón;Ambos sexos;Educación primaria;2017T2;182,8
02 Aragón;Ambos sexos;Educación primaria;2017T1;182,5
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2023T2;301,3
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2023T1;326,9
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2022T4;314,8
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2022T3;286,0
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2022T2;297,2
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2022T1;301,5
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2021T4;295,6
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2021T3;284,6
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2021T2;273,8
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2021T1;284,4
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2020T4;279,0
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2020T3;268,0
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2020T2;282,2
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2020T1;282,3
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2019T4;286,5
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2019T3;300,6
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2019T2;296,2
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2019T1;289,8
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2018T4;294,0
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2018T3;289,9
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2018T2;294,8
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2018T1;298,1
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2017T4;294,6
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2017T3;297,4
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2017T2;293,5
02 Aragón;Ambos sexos;Primera etapa de educación secundaria y similar;2017T1;292,2
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2023T2;139,7
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2023T1;127,3
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2022T4;132,0
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2022T3;138,0
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2022T2;141,6
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2022T1;145,8
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2021T4;154,3
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2021T3;167,1
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2021T2;168,6
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2021T1;160,1
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2020T4;164,4
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2020T3;168,4
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2020T2;156,3
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2020T1;152,2
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2019T4;153,8
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2019T3;150,4
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2019T2;146,6
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2019T1;147,0
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2018T4;143,6
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2018T3;144,2
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2018T2;143,4
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2018T1;146,4
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2017T4;150,2
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2017T3;150,3
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2017T2;153,7
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria, con orientación general;2017T1;153,1
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T2;118,1
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T1;108,5
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T4;109,8
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T3;110,0
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T2;109,1
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T1;113,1
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T4;122,7
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T3;119,6
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T2;124,9
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T1;123,8
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T4;124,8
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T3;121,3
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T2;116,0
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T1;115,7
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T4;112,4
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T3;110,7
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T2;111,3
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T1;111,0
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T4;108,3
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T3;108,9
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T2;107,2
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T1;104,9
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T4;107,7
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T3;109,2
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T2;107,6
02 Aragón;Ambos sexos;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T1;108,0
02 Aragón;Ambos sexos;Educación superior;2023T2;373,5
02 Aragón;Ambos sexos;Educación superior;2023T1;365,5
02 Aragón;Ambos sexos;Educación superior;2022T4;371,3
